DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
01M015,P.S. 015 Roberto Clemente,187,67,0.36,16,6,10,49,2
01M019,P.S. 019 Asher Levy,274,34,0.12,19,0,0,15,0
01M020,P.S. 020 Anna Silver,512,95,0.19,41,26,15,51,3
01M034,P.S. 034 Franklin D. Roosevelt,348,84,0.24,46,34,12,38,0
01M063,The STAR Academy - P.S.63,212,52,0.25,13,0,0,37,2
01M064,P.S. 064 Robert Simon,256,46,0.18,18,0,0,25,3
01M110,P.S. 110 Florence Nightingale,394,52,0.13,14,0,0,37,1
01M134,P.S. 134 Henrietta Szold,318,50,0.16,31,24,7,17,2
01M140,P.S. 140 Nathan Straus,394,72,0.18,23,17,6,48,1
01M142,P.S. 142 Amalia Castro,357,96,0.27,30,0,0,62,4
01M184,P.S. 184m Shuang Wen,693,78,0.11,0,0,0,74,4
01M188,P.S. 188 The Island School,462,185,0.40,124,104,20,58,3
01M292,Orchard Collegiate Academy,165,24,0.15,9,0,0,12,3
01M301,"Technology, Arts, and Sciences Studio",99,15,0.15,8,0,0,6,1
01M315,The East Village Community School,332,14,0.04,8,0,0,6,0
01M332,University Neighborhood Middle School,209,30,0.14,10,0,0,18,2
01M361,The Children's Workshop School,323,30,0.09,13,0,0,14,3
01M363,Neighborhood School,310,26,0.08,0,0,0,23,3
01M364,Earth School,363,51,0.14,12,0,0,38,1
01M378,School for Global Leaders,276,49,0.18,22,0,0,24,3
01M444,Home Schooling,49,0,0,0,0,0,0,0
01M448,University Neighborhood High School,469,73,0.16,12,0,0,59,2
01M450,East Side Community School,685,41,0.06,15,0,0,26,0
01M458,Forsyth Satellite Academy,231,29,0.13,14,8,6,7,8
01M509,Marta Valle High School,138,20,0.14,11,0,0,8,1
01M515,Lower East Side Preparatory High School,672,100,0.15,14,0,0,78,8
01M539,"New Explorations into Science, Technology and Math",1739,15,0.01,0,0,0,12,3
01M650,Cascades High School,263,31,0.12,15,0,0,12,4
01M696,Bard High School Early College,587,15,0.03,0,0,0,8,7
01M700,Universal Pre-K C.B.O.,367,53,0.14,24,0,0,26,3
01M839,Tompkins Square Middle School,375,34,0.09,7,0,0,21,6
02M001,P.S. 001 Alfred E. Smith,342,23,0.07,15,0,0,7,1
02M002,P.S. 002 Meyer London,574,132,0.23,20,13,7,109,3
02M003,P.S. 003 Charrette School,769,9,0.01,0,0,0,7,2
02M006,P.S. 006 Lillie D. Blake,714,0,0,0,0,0,0,0
02M011,P.S. 011 William T. Harris,950,52,0.05,24,17,7,27,1
02M033,P.S. 033 Chelsea Prep,679,111,0.16,76,68,8,32,3
02M040,P.S. 040 Augustus Saint-Gaudens,722,6,0.01,0,0,0,6,0
02M041,P.S. 041 Greenwich Village,703,0,0,0,0,0,0,0
02M042,P.S. 042 Benjamin Altman,665,50,0.08,0,0,0,46,4
02M047,47 The American Sign Language and English Secondar,174,17,0.10,9,0,0,8,0
02M051,P.S. 051 Elias Howe,517,143,0.28,78,0,0,59,6
02M059,P.S. 059 Beekman Hill International,642,0,0,0,0,0,0,0
02M077,P.S. 77 Lower Lab School,358,0,0,0,0,0,0,0
